Senyawa1,Senyawa2,Topology Score
Coumarin,Pregnenolone,0.77690705506
Isoglycyrol,Formononetin,0.776863134865
Isoferulic acid,Formononetin,0.77663542539
alpha-Pinene,Fumaric acid,0.776550681872
Tryptamine,Semilicoisoflavone B,0.776461669597
Tryptamine,Mitraphylline,0.776461669597
Tanshinone I,Isoferulic acid,0.776256370466
alpha-Pinene,(R)-linalool,0.776203554396
"(6S,9R)-Roseoside","3,4-Dihydroxybenzoic acid",0.776051274631
(R)-linalool,Apigenin,0.775933557707
Kaempferol,Tanshinone II,0.775889382154
"1,3,7-Trihydroxyxanthone",Thiamine,0.775880771077
trans-Zeatin,Naringin,0.775789076137
Thiamine,Indole-3-acetic acid,0.775706503735
"3,4-Dihydroxybenzoic acid",Formononetin,0.775351138563
Glycyrrhetinic acid,Isoferulic acid,0.775347607305
Vincamine,Peucedanin,0.7752352578
Peucedanin,Uracil,0.7752352578
Peucedanin,Pregnenolone,0.7752352578
Semilicoisoflavone B,Myricetin,0.775077900794
Myricetin,Mitraphylline,0.775077900794
Succinic acid,Palmitic acid,0.774994771203
p-Coumaric acid,Quinic acid,0.77498206441
Glycyrol,Naringenin,0.774801715854
Ellagic acid,Indole-3-acetic acid,0.774549430621
Formononetin,Chrysoeriol,0.774549339308
7-Hydroxycoumarin,Isoferulic acid,0.774543477429
Mitraphylline,3-O-Caffeoylquinic acid,0.7745083759
3-O-Caffeoylquinic acid,Semilicoisoflavone B,0.7745083759
Scopoletin,Naringin,0.774413063558
Tanshinone I,Oleic acid,0.774226464245
Rutin,Naringin,0.774174333704
Kaempferol,Salicylic acid,0.774117596254
Betulinic acid,Cryptotanshinone,0.77403094986
Trigonelline,Caffeic acid,0.77386117428
Vincamine,Tryptamine,0.773809578828
Tryptamine,Uracil,0.773809578828
Tryptamine,Pregnenolone,0.773809578828
Isoferulic acid,Tanshinone II,0.773745720933
Succinic acid,Linoleic acid,0.77371014173
Fumaric acid,"1,3,7-Trihydroxyxanthone",0.773647526918
Coumestrol,Mitraphylline,0.7735752767
Semilicoisoflavone B,Coumestrol,0.7735752767
Mitraphylline,Malic acid,0.773563797279
Malic acid,Semilicoisoflavone B,0.773563797279
"6,8-Diprenylgenistein",Coumarin,0.773444899567
Naringin,Isoglycyrol,0.77342027949
Malic acid,Kaempferol,0.773309454106
Salicylic acid,p-Coumaric acid,0.773297893722
"Methyl 3,4,5-trihydroxybenzoate",Betulinic acid,0.773238117115
Fumaric acid,trans-Zeatin,0.773017691498
"3,4-Dihydroxybenzoic acid",Isoliquiritigenin,0.773002829159
"1,3,7-Trihydroxyxanthone",Peucedanin,0.7729228068
Kaempferol,Acetovanillone,0.772771422855
Coumarin,Liquiritin,0.772690951427
Oleic acid,Peucedanin,0.772666043951
Trigonelline,Tanshinone II,0.772584604182
Thiamine,Caffeic acid,0.772573047413
(R)-linalool,Malic acid,0.772381209597
Quercetin,Chelerythrine,0.772310338644
Ellagic acid,Isoliquiritigenin,0.772287422621
trans-Zeatin,Coumarin,0.772262464815
Vitamin A,Quinic acid,0.772253176753
Myricetin,Adenosine,0.772249556655
Chrysoeriol,Glycyrol,0.772136579655
Fumaric acid,Coumarin,0.772053524497
trans-Zeatin,Glycyrrhetinic acid,0.771831484022
Salicylic acid,Ellagic acid,0.771654971597
Chrysoeriol,Adenosine,0.771636062026
Fumaric acid,Malic acid,0.771579034901
Indole-3-acetic acid,Isoglycyrol,0.771541441807
trans-Zeatin,Malic acid,0.771099467976
Naringenin,Oleic acid,0.771079962256
Oestrone,Myoinositol,0.770935749688
Peucedanin,Mitraphylline,0.770894861324
Peucedanin,Semilicoisoflavone B,0.770894861324
Semilicoisoflavone B,Testosterone,0.770887974779
(R)-linalool,2'-Hydroxygenistein,0.770870610729
Kaempferol,Tryptamine,0.770850737895
7-Hydroxycoumarin,Kaempferol,0.770690672951
Scopoletin,Oestrone,0.77064078662
Acetovanillone,Isoferulic acid,0.770580168129
Cryptotanshinone,"1,3,7-Trihydroxyxanthone",0.770554733343
Fumaric acid,Coumestrol,0.770545609942
Mitraphylline,Testosterone,0.770542327846
Isoglycyrol,Naringenin,0.770522192982
beta-D-Glucosamine,Linoleic acid,0.770455150625
Benzoic acid,trans-Zeatin,0.770365562013
Fumaric acid,Trigonelline,0.770245930706
Vanillin,Cryptotanshinone,0.770182214756
Myoinositol,Quinic acid,0.770034616866
Vanillic acid,(R)-linalool,0.769959168322
Testosterone,Coumestrol,0.769807233369
Mitraphylline,Acetovanillone,0.769700529705
Semilicoisoflavone B,Acetovanillone,0.769700529705
Vitamin A,"Methyl 3,4,5-trihydroxybenzoate",0.769636079839
Tanshinone I,Caffeic acid,0.769509212464
Tryptamine,Vitamin A,0.769371296841
Apigenin,Oestrone,0.769251374286
Glycyrol,Tryptamine,0.769220302598
Uracil,Acetovanillone,0.769177309116
Pregnenolone,Acetovanillone,0.769177309116
Vincamine,Acetovanillone,0.769177309116
Gibberellin A3,Riboflavin,0.769086887276
Liquiritin,Isoferulic acid,0.769071986475
Myricetin,Isoliquiritigenin,0.769063142003
Chrysoeriol,Salicylic acid,0.769052818259
Formononetin,Testosterone,0.76901321931
Quinic acid,Isoferulic acid,0.768925262822
Thiamine,Chrysoeriol,0.768839212177
Glycyrol,Indole-3-acetic acid,0.768838103133
alpha-Tocopherol,Acetovanillone,0.768785082723
"1,3,7-Trihydroxyxanthone",Uracil,0.76856926038
Pregnenolone,"1,3,7-Trihydroxyxanthone",0.76856926038
Vincamine,"1,3,7-Trihydroxyxanthone",0.76856926038
(R)-linalool,Betulinic acid,0.768496001914
Myristicin,"3,4-Dihydroxybenzoic acid",0.768483363192
"1,3,7-Trihydroxyxanthone",trans-Zeatin,0.76840768604
Gibberellin A3,Apigenin,0.768198948904
L-Phenylalanine,Gancaonin U,0.768164054894
Oestrone,Peucedanin,0.768163327851
Ajmalicine,Berberine,0.768144692862
6-Hydroxymellein,L-Phenylalanine,0.767963119057
Glycyrrhetinic acid,Fumaric acid,0.767777962962
Vitamin A,Peucedanin,0.767532274505
Formononetin,"(6S,9R)-Roseoside",0.767498754139
Ellagic acid,Acetovanillone,0.767243832876
(R)-linalool,Tanshinone II,0.767215111086
Peucedanin,Glycyrol,0.767199967339
Myristicin,Naringenin,0.7671637609
Oestrone,Thiamine,0.767029985927
Vitamin A,Adenosine,0.766803301348
Coumestrol,Glycyrol,0.766795709675
Gibberellin A3,"Methyl 3,4,5-trihydroxybenzoate",0.766780404995
"1,3,7-Trihydroxyxanthone","3,4-Dihydroxybenzoic acid",0.766760717223
Adenosine,Kaempferol,0.766689931807
Benzoic acid,"(6S,9R)-Roseoside",0.76660253498
Riboflavin,(R)-linalool,0.766494245022
Malic acid,Glycyrol,0.766313442881
Vincamine,Myricetin,0.766220624456
Myricetin,Pregnenolone,0.766220624456
Myricetin,Uracil,0.766220624456
Caffeic acid,"6,8-Diprenylgenistein",0.766071706238
Isoliquiritigenin,Oleanolic acid,0.766031474224
Peucedanin,trans-Zeatin,0.765984614317
Trigonelline,Liquiritin,0.765966528424
Salicylic acid,Isoferulic acid,0.765895667972
trans-Zeatin,Quinic acid,0.765755150213
Tanshinone I,Chrysoeriol,0.765563806583
Thiamine,Quinic acid,0.765528051449
Isoglycyrol,Kaempferol,0.765449308289
Thiamine,3-O-Caffeoylquinic acid,0.76538963535
trans-Zeatin,Citric acid,0.76519876653
Isoglycyrol,Tryptamine,0.765186567784
Quinic acid,Indole-3-acetic acid,0.765127734186
Oleanolic acid,p-Coumaric acid,0.765032818644
Vitamin A,Malic acid,0.764939117473
Kaempferol,Glycyrol,0.764919370451
Benzoic acid,"3,4-Dihydroxybenzoic acid",0.76485904484
Oleic acid,Cryptotanshinone,0.764800655785
Formononetin,Peucedanin,0.764632781534
Naringin,"(6S,9R)-Roseoside",0.764231508418
Oestrone,(R)-linalool,0.764053402827
"1,3,7-Trihydroxyxanthone","Methyl 3,4,5-trihydroxybenzoate",0.763979389916
Isoglycyrol,Fumaric acid,0.763868907701
Adenosine,Apigenin,0.763752105698
Formononetin,Tanshinone II,0.763610278506
Vanillin,p-Coumaric acid,0.76329756711
3-O-Caffeoylquinic acid,Myoinositol,0.763294413495
Scopoletin,Tanshinone I,0.763240045165
"1,3,7-Trihydroxyxanthone",7-Hydroxycoumarin,0.76294922632
Malic acid,Gibberellin A3,0.762784767206
Octadecanoic acid,Palmitic acid,0.762784294354
3-O-Caffeoylquinic acid,"(6S,9R)-Roseoside",0.76277025775
Vitamin A,2'-Hydroxygenistein,0.762572829879
Myristicin,Scopoletin,0.762441790331
trans-Zeatin,Caffeic acid,0.762417346273
Folic acid,Benzoic acid,0.762413248033
Kaempferol,p-Coumaric acid,0.762329985985
Isoglycyrol,Malic acid,0.762304473041
Scopoletin,7-Hydroxycoumarin,0.762301255853
Adenosine,Betulinic acid,0.762106314613
Oleanolic acid,Adenosine,0.761964079165
Isolicoflavonol,Scopoletin,0.761826399659
Glycyrol,Cryptotanshinone,0.76181840566
Isoliquiritigenin,Mitraphylline,0.761814621582
Semilicoisoflavone B,Isoliquiritigenin,0.761814621582
Peucedanin,Isoglycyrol,0.761736769727
Vitamin A,Vanillic acid,0.761661387473
Myristicin,Glycyrrhetinic acid,0.761626154437
"(6S,9R)-Roseoside",Naringenin,0.761509608742
"3,4-Dihydroxybenzoic acid",Chrysoeriol,0.76145156117
Liquiritin,Tanshinone I,0.761302525033
Adenosine,Oleic acid,0.761257471838
Riboflavin,Fumaric acid,0.761221135943
Liquiritin,Ellagic acid,0.76116812815
Protopine,Glycycoumarin,0.760879942652
Vitamin A,Riboflavin,0.760657243009
Malic acid,Formononetin,0.76052918254
Sanguinarine,3' 5'-cyclic AMP,0.760452015207
Ellagic acid,Myoinositol,0.76034687198
"1,3,7-Trihydroxyxanthone",Naringin,0.760301805683
Fumaric acid,p-Coumaric acid,0.760258848857
Isoferulic acid,Naringenin,0.760159957807
Vanillin,Liquiritin,0.759996436703
Scopoletin,Vanillin,0.759969692644
Tanshinone I,Salicylic acid,0.759901292445
trans-Zeatin,Oestrone,0.7598134253
Isoferulic acid,Testosterone,0.759793516213
Betulinic acid,Salicylic acid,0.759766932756
Gibberellin A3,2'-Hydroxygenistein,0.759717398801
Liquiritin,(R)-linalool,0.759383724264
Oleic acid,Semilicoisoflavone B,0.759223571307
Oleic acid,Mitraphylline,0.759223571307
Gallic acid,L-Phenylalanine,0.759156180895
Scopoletin,Testosterone,0.75913642179
Scopoletin,Tryptamine,0.758991760794
"3,4-Dihydroxybenzoic acid",Naringenin,0.758977591569
Tanshinone II,Vitamin A,0.758917330236
Oestrone,p-Coumaric acid,0.758900995595
Oleic acid,Malic acid,0.758854522223
Gibberellin A3,Vanillic acid,0.758847763046
Indole-3-acetic acid,Kaempferol,0.758700887564
Oestrone,Liquiritin,0.758661829853
Trigonelline,Adenosine,0.758478133499
"1,3,7-Trihydroxyxanthone",Indole-3-acetic acid,0.758418028501
Pregnenolone,Oestrone,0.758349958273
Vincamine,Oestrone,0.758349958273
Uracil,Oestrone,0.758349958273
Ellagic acid,Caffeic acid,0.75808703638
Myristicin,Riboflavin,0.757995996786
Betulinic acid,Vitamin A,0.757812730428
Oestrone,Gibberellin A3,0.757621807479
Formononetin,Caffeic acid,0.757590945166
"6,8-Diprenylgenistein",Kaempferol,0.757522812547
Trigonelline,"1,3,7-Trihydroxyxanthone",0.757324131269
Trigonelline,Salicylic acid,0.757321364054
"6,8-Diprenylgenistein",Isolicoflavonol,0.757239763811
Trigonelline,Coumarin,0.757157275822
Thiamine,Ellagic acid,0.756906638991
Myricetin,Vitamin A,0.756904073343
Thiamine,Acetovanillone,0.756859607393
"(6S,9R)-Roseoside",Acetovanillone,0.756835906542
Gibberellin A3,Betulinic acid,0.756717016416
Betulinic acid,Scopoletin,0.756397037918
Ellagic acid,Chrysoeriol,0.756313944608
Testosterone,Vanillin,0.756191192464
Tryptamine,"(6S,9R)-Roseoside",0.7560756084
Tanshinone II,Gibberellin A3,0.755928565788
p-Coumaric acid,alpha-Tocopherol,0.755893540812
Folic acid,Isolicoflavonol,0.755793047514
"1,3,7-Trihydroxyxanthone",Malic acid,0.755571083713
Palmitic acid,beta-Monoolein,0.755429559953
Semilicoisoflavone B,Citric acid,0.755284217826
Myoinositol,Cryptotanshinone,0.75513092013
Mitraphylline,Citric acid,0.75502176837
Isoliquiritigenin,Glycyrol,0.754853208743
Vincristine,Testosterone,0.754807510588
Myoinositol,Acetovanillone,0.754764385538
Liquiritin,Betulinic acid,0.754626788322
Cryptotanshinone,Formononetin,0.754539073362
7-Hydroxycoumarin,Coumestrol,0.7544821829
Oleic acid,Testosterone,0.754404158029
Myristicin,"Methyl 3,4,5-trihydroxybenzoate",0.754275195993
"(6S,9R)-Roseoside",Myricetin,0.754185938245
Isolicoflavonol,Gibberellin A3,0.754000664047
Isoprene,alpha-Pinene,0.753909200033
Peucedanin,Isoferulic acid,0.753904837613
7-Hydroxycoumarin,Oleanolic acid,0.753711929507
Linoleic acid,Riboflavin,0.753701686624
Scopoletin,Coumestrol,0.753543266245
Adenosine,Tanshinone I,0.753347835238
Salicylic acid,Oleanolic acid,0.753268393004
3-O-Caffeoylquinic acid,Folic acid,0.753253029513
"(6S,9R)-Roseoside",Peucedanin,0.753197943952
Malic acid,"(6S,9R)-Roseoside",0.753183601629
Caffeic acid,p-Coumaric acid,0.753175594392
Liquiritin,Formononetin,0.753087550749
Naringin,Isoferulic acid,0.752991284409
Coumestrol,"(6S,9R)-Roseoside",0.752887825795
trans-Zeatin,Isoliquiritigenin,0.75284951184
Glycyrol,Oleic acid,0.752806014832
Oleanolic acid,Vitamin A,0.752615321041
Betulinic acid,Chrysoeriol,0.752581590879
Palmitic acid,Oleic acid,0.752408984409
Ellagic acid,Fumaric acid,0.75230902997
Testosterone,7-Hydroxycoumarin,0.752181860584
Thiamine,Testosterone,0.752042544143
p-Coumaric acid,3-O-Caffeoylquinic acid,0.752009703525
Fumaric acid,Glycyrol,0.751760666499
alpha-Tocopherol,Oleic acid,0.751573465074
Glycyrrhetinic acid,alpha-Tocopherol,0.751570332329
Salicylic acid,Citric acid,0.751517660867
Fumaric acid,Scopoletin,0.751460213708
Indole-3-acetic acid,p-Coumaric acid,0.751276934592
Glycyrrhetinic acid,Trigonelline,0.751275552508
Tanshinone II,Scopoletin,0.751121162099
Benzoic acid,Semilicoisoflavone B,0.751103701095
Myricetin,Scopoletin,0.751094396001
Vitamin A,Liquiritin,0.751085943414
Cryptotanshinone,Ellagic acid,0.751059816538
Quinic acid,Isolicoflavonol,0.750967781475
Tryptamine,7-Hydroxycoumarin,0.750939411377
Oleanolic acid,Malic acid,0.750904030827
Benzoic acid,Mitraphylline,0.750788005432
Fumaric acid,Naringenin,0.750400123243
Testosterone,Naringenin,0.750222455152
Isoglycyrol,Isoliquiritigenin,0.750048054167
Succinic acid,Isoprene,0.750034082
Indole-3-acetic acid,"3,4-Dihydroxybenzoic acid",0.74997868751
7-Hydroxycoumarin,Isolicoflavonol,0.749843688779
Scopoletin,Isoliquiritigenin,0.749802787611
Salicylic acid,Vanillin,0.749638482904
Scopoletin,Cryptotanshinone,0.749578793008
Quinic acid,Acetovanillone,0.749436862514
Acetylursolic acid,Labiatenic acid,0.749404213425
Citric acid,Folic acid,0.749324975904
Ellagic acid,trans-Zeatin,0.749212389559
Semilicoisoflavone B,Adenosine,0.748992729355
Naringin,Trigonelline,0.748896438029
Gibberellin A3,Liquiritin,0.748811166306
Liquiritin,Oleic acid,0.748774416247
Adenosine,Mitraphylline,0.74873769341
L-Phenylalanine,alpha-Pinene,0.748709115159
Vanillin,Formononetin,0.748652323966
Ajmalicine,Guanosine,0.748598637665
Oleic acid,Ellagic acid,0.748579806678
3-O-Caffeoylquinic acid,Isoglycyrol,0.748357230858
(R)-linalool,Tanshinone I,0.748224791593
Chrysoeriol,Kaempferol,0.748198172313
Naringin,Oestrone,0.747824040465
Oleic acid,trans-Zeatin,0.747772452115
Octadecanoic acid,Oleic acid,0.747765413897
Coumestrol,Isoferulic acid,0.747412603471
Oleic acid,Isoferulic acid,0.747235158194
Gancaonin U,Myristicin,0.747222710187
Myristicin,2'-Hydroxygenistein,0.747211902649
Ellagic acid,Uracil,0.747007117093
Ellagic acid,Pregnenolone,0.747007117093
Vincamine,Ellagic acid,0.747007117093
p-Coumaric acid,Tanshinone II,0.746886484636
Myricetin,Naringenin,0.746753255855
2'-Hydroxygenistein,Scopoletin,0.746694113308
Octadecanoic acid,Apigenin,0.746614533412
Kaempferol,Naringin,0.746596661392
Isoglycyrol,Oleic acid,0.746502252253
Tanshinone I,Coumarin,0.74649834694
Isoferulic acid,Oestrone,0.746439861536
Glycyrrhetinic acid,p-Coumaric acid,0.746435374029
Myristicin,Vanillic acid,0.746293019726
Myristicin,Malic acid,0.746283824659
Indole-3-acetic acid,Oleic acid,0.746236112852
Naringin,Ellagic acid,0.746164833632
alpha-Tocopherol,Vincristine,0.745850790972
Chrysoeriol,(R)-linalool,0.745794811171
"6,8-Diprenylgenistein",Fumaric acid,0.745755508403
Oleic acid,"(6S,9R)-Roseoside",0.745741748209
Indole-3-acetic acid,Naringenin,0.745673875682
Isolicoflavonol,(R)-linalool,0.745541348084
Oestrone,7-Hydroxycoumarin,0.745430066028
Malic acid,Tanshinone I,0.74524591516
Betulinic acid,p-Coumaric acid,0.745026573986
Kaempferol,"3,4-Dihydroxybenzoic acid",0.745026492649
Oleanolic acid,Chrysoeriol,0.745018467194
Vanillin,Malic acid,0.744932002049
Coumarin,Apigenin,0.744904910065
Tryptamine,Isoferulic acid,0.744711741162
Chrysoeriol,Caffeic acid,0.744707851166
"3,4-Dihydroxybenzoic acid",Fumaric acid,0.744596132433
Benzoic acid,Vanillin,0.744500427741
Caffeic acid,Myricetin,0.744438569216
Coumarin,Betulinic acid,0.744309850787
p-Coumaric acid,Tanshinone I,0.744127811579
Malic acid,Trigonelline,0.744074066541
Tanshinone I,alpha-Tocopherol,0.744008363217
Coumestrol,Benzoic acid,0.743943550945
Oleanolic acid,alpha-Tocopherol,0.743887754306
Semilicoisoflavone B,Salicylic acid,0.74386319319
Liquiritin,p-Coumaric acid,0.743755584335
Peucedanin,alpha-Tocopherol,0.743735746529
Isoliquiritigenin,Kaempferol,0.743644067659
Ellagic acid,Testosterone,0.743616965202
Mitraphylline,Salicylic acid,0.743614112168
Tanshinone II,Myristicin,0.743580132942
p-Coumaric acid,2'-Hydroxygenistein,0.743110647468
Adenosine,Glycyrol,0.743062345292
Isoglycyrol,Testosterone,0.74299825697
Myristicin,Betulinic acid,0.742918193498
Benzoic acid,Vincristine,0.74285388369
Isoferulic acid,Malic acid,0.742728111929
"1,3,7-Trihydroxyxanthone",Myricetin,0.742635403379
Isoliquiritigenin,7-Hydroxycoumarin,0.742515704275
Citric acid,Coumestrol,0.742481241567
Kaempferol,Riboflavin,0.742260065139
(R)-linalool,Salicylic acid,0.742229258681
Glycyrol,Ellagic acid,0.742155710965
Oleic acid,7-Hydroxycoumarin,0.742014128224
Adenosine,Vanillin,0.741949273798
Isoliquiritigenin,(R)-linalool,0.741846275889
(R)-linalool,Naringin,0.741696234133
trans-Zeatin,Indole-3-acetic acid,0.741644932289
3' 5'-cyclic AMP,Adenosine,0.741572499033
Semilicoisoflavone B,Coumarin,0.741479385372
Folic acid,Cryptotanshinone,0.741432822597
Citric acid,Oestrone,0.741399307923
Folic acid,Apigenin,0.741312117425
Mitraphylline,Coumarin,0.741265279059
Isoliquiritigenin,"(6S,9R)-Roseoside",0.741245850753
"1,3,7-Trihydroxyxanthone",Semilicoisoflavone B,0.741212338241
Gallic acid,Vitamin A,0.741178798219
"(6S,9R)-Roseoside",Citric acid,0.741162127943
Linoleic acid,Gallic acid,0.741086683632
Trigonelline,Coumestrol,0.741018977191
Betulinic acid,Malic acid,0.740994232361
Mitraphylline,"1,3,7-Trihydroxyxanthone",0.740988350985
6-Hydroxymellein,Myristicin,0.740922414267
Vitamin A,Isolicoflavonol,0.74083280814
Isoferulic acid,Myricetin,0.740651706038
Fumaric acid,Oleanolic acid,0.740551860235
Vitamin A,Tanshinone I,0.740504825526
Cryptotanshinone,Pregnenolone,0.740425475493
Vincamine,Cryptotanshinone,0.740425475493
Cryptotanshinone,Uracil,0.740425475493
Oleic acid,Benzoic acid,0.740394818439
Spermidine,(-)-Jasmonic acid,0.740369179452
7-Hydroxycoumarin,Tanshinone I,0.740213438447
Acetovanillone,Isoglycyrol,0.740175062174
Chrysoeriol,Oestrone,0.740087106546
Isoliquiritigenin,Isoferulic acid,0.73963949182
Myricetin,Glycyrol,0.739606216845
Myristicin,Oleanolic acid,0.739533332333
Chrysoeriol,Myricetin,0.739393823972
Indole-3-acetic acid,Testosterone,0.739113043498
Naringin,Formononetin,0.739111688844
Oleanolic acid,Coumarin,0.73886132071
Trigonelline,Oleic acid,0.738788242692
Glycyrol,Coumarin,0.738743012017
Caffeic acid,Myoinositol,0.738681400256
Cryptotanshinone,Oestrone,0.738248498673
"1,3,7-Trihydroxyxanthone",Betulinic acid,0.73816335187
Isoferulic acid,Citric acid,0.738085586361
Salicylic acid,Glycyrol,0.738071279727
Quinic acid,Formononetin,0.737889042626
Tanshinone I,Naringenin,0.737872386499
Acetovanillone,Testosterone,0.737806590939
Caffeic acid,Isoferulic acid,0.737524531075
alpha-Tocopherol,2'-Hydroxygenistein,0.737513888306
Isoliquiritigenin,Indole-3-acetic acid,0.737499743244
Peucedanin,Quinic acid,0.737444586013
Vitamin A,Chrysoeriol,0.737433501669
Myricetin,Isoglycyrol,0.737393602033
p-Coumaric acid,Acetovanillone,0.736847319161
Succinic acid,beta-D-Glucosamine,0.736802709534
Citric acid,Vanillin,0.736517933357
"1,3,7-Trihydroxyxanthone",Liquiritin,0.736427319204
Vitamin A,3-O-Caffeoylquinic acid,0.736419839805
Kaempferol,Peucedanin,0.736375576709
2'-Hydroxygenistein,7-Hydroxycoumarin,0.736365229929
Salicylic acid,Isoglycyrol,0.736245689833
Gibberellin A3,Chrysoeriol,0.736190520743
Trigonelline,Testosterone,0.736114825917
alpha-Tocopherol,Malic acid,0.736090398152
Glycyrol,"1,3,7-Trihydroxyxanthone",0.736003933378
Caffeic acid,Betulinic acid,0.735918175544
p-Coumaric acid,Peucedanin,0.735836791021
alpha-Tocopherol,"Methyl 3,4,5-trihydroxybenzoate",0.735675097329
Myristicin,Liquiritin,0.7356216746
Isoglycyrol,Adenosine,0.735161132621
L-Phenylalanine,Ellagic acid,0.73492317849
p-Coumaric acid,Testosterone,0.734854184441
trans-Zeatin,Cryptotanshinone,0.734824560939
"Methyl 3,4,5-trihydroxybenzoate",Benzoic acid,0.73473573484
Isoglycyrol,Coumarin,0.734711409663
Adenosine,Scopoletin,0.734699304991
"Methyl 3,4,5-trihydroxybenzoate",7-Hydroxycoumarin,0.734525339413
Apigenin,Fumaric acid,0.734496553847
Ellagic acid,Trigonelline,0.734343027233
Adenosine,(R)-linalool,0.734339146666
Salicylic acid,Gibberellin A3,0.734088272265
Tanshinone I,Gibberellin A3,0.734020808717
alpha-Tocopherol,Tanshinone II,0.733974516261
Vanillin,Gancaonin U,0.733935572071
Oestrone,Myristicin,0.733673536667
Apigenin,Ellagic acid,0.733653860169
Vitamin A,Salicylic acid,0.73362458556
Oestrone,Myricetin,0.733592934742
Naringin,Vitamin A,0.733398453283
Coumestrol,Apigenin,0.733223824186
Protopine,Spermidine,0.733214976793
Isolicoflavonol,Myristicin,0.733143193047
Indole-3-acetic acid,2'-Hydroxygenistein,0.733139856624
Tryptamine,(R)-linalool,0.733105303918
alpha-Tocopherol,Adenosine,0.73309227461
Oleanolic acid,"1,3,7-Trihydroxyxanthone",0.733050847049
Cryptotanshinone,Mitraphylline,0.732789348881
Cryptotanshinone,Semilicoisoflavone B,0.732789348881
Peucedanin,(R)-linalool,0.7326492506
Tryptamine,alpha-Tocopherol,0.732614052703
Isoglycyrol,"1,3,7-Trihydroxyxanthone",0.732595566649
Gibberellin A3,Isoliquiritigenin,0.73226233175
Tanshinone II,7-Hydroxycoumarin,0.732224438484
Naringenin,Betulinic acid,0.732158228578
Benzoic acid,7-Hydroxycoumarin,0.731833599568
Betulinic acid,7-Hydroxycoumarin,0.731741171623
Chrysoeriol,Myoinositol,0.731735841425
Gibberellin A3,Naringin,0.7314869924
Isolicoflavonol,Oleanolic acid,0.731476127149
"3,4-Dihydroxybenzoic acid",7-Hydroxycoumarin,0.731455328977
Myricetin,Isolicoflavonol,0.731424386336
Tryptamine,Quinic acid,0.731220908277
Benzoic acid,Acetovanillone,0.731145906013
Riboflavin,Benzoic acid,0.731093354006
Scopoletin,Peucedanin,0.730906479971
Oleic acid,Isoprene,0.730864432855
Scopoletin,Glycyrrhetinic acid,0.730783620799
Acetovanillone,Peucedanin,0.730375874593
"1,3,7-Trihydroxyxanthone",Tanshinone I,0.730371850223
Myristicin,Apigenin,0.730317999405
Thiamine,Benzoic acid,0.730314259332
"Methyl 3,4,5-trihydroxybenzoate",Fumaric acid,0.730087543147
Testosterone,Riboflavin,0.729815496036
Testosterone,Glycyrol,0.729713913483
Hirsutrin,Liquiritin,0.729241958641
Thiamine,Citric acid,0.729241134375
Tanshinone I,Myristicin,0.729178911237
Semilicoisoflavone B,Oestrone,0.729029681673
Naringenin,Quinic acid,0.729028661458
Isoferulic acid,Cryptotanshinone,0.728944160442
Mitraphylline,Oestrone,0.728813383102
Oleic acid,Acetovanillone,0.728631286142
Benzoic acid,Ellagic acid,0.728513686605
Naringin,p-Coumaric acid,0.728459961569
(+)-S-Carvone,Oxalic acid,0.728441346971
alpha-Terpinene,Oxalic acid,0.728441346971
4-Terpineol,Oxalic acid,0.728441346971
Citric acid,Sucrose,0.728322096826
Octadecanoic acid,Ellagic acid,0.728153739923
Coumestrol,Indole-3-acetic acid,0.728102493821
Vanillin,Oestrone,0.728073004596
"3,4-Dihydroxybenzoic acid",Testosterone,0.727904331502
Vanillic acid,alpha-Tocopherol,0.727709204456
Betulinic acid,alpha-Tocopherol,0.727708980281
Adenosine,"(6S,9R)-Roseoside",0.727496030683
Oleic acid,Oestrone,0.727224623776
Ellagic acid,"3,4-Dihydroxybenzoic acid",0.727094387757
7-Hydroxycoumarin,Liquiritin,0.726991742476
"1,3,7-Trihydroxyxanthone",Quercetin,0.72686406565
Vanillic acid,7-Hydroxycoumarin,0.72674912101
Scopoletin,Coumarin,0.72650825459
Gibberellin A3,Adenosine,0.726059973053
Citric acid,Scopoletin,0.726031063133
Cryptotanshinone,Trigonelline,0.726004156863
Naringenin,p-Coumaric acid,0.725980211193
Semilicoisoflavone B,Caffeic acid,0.725738903276
Octadecanoic acid,Coumarin,0.72569183991
Benzoic acid,Naringenin,0.72556474235
Liquiritin,alpha-Tocopherol,0.725521277349
Mitraphylline,Caffeic acid,0.725507231399
3' 5'-cyclic AMP,Isoliquiritigenin,0.725503325928
Vanillin,6-Hydroxymellein,0.725430520878
Caffeic acid,Vanillin,0.725242744975
Oestrone,Fumaric acid,0.72518966905
Isoferulic acid,Coumarin,0.725131358491
Oleanolic acid,Kaempferol,0.724880659394
Octadecanoic acid,Isoprene,0.724854616911
3' 5'-cyclic AMP,Spermine,0.724700477086
Octadecanoic acid,L-Phenylalanine,0.72467309527
Oleanolic acid,Acetylursolic acid,0.724599318939
Isoglycyrol,Cryptotanshinone,0.724481215582
Salicylic acid,Vincristine,0.724371871141
Glycyrol,Quinic acid,0.724368021523
Pregnenolone,Caffeic acid,0.724099301132
Vincamine,Caffeic acid,0.724099301132
Caffeic acid,Uracil,0.724099301132
"1,3,7-Trihydroxyxanthone",Isoferulic acid,0.724061276525
Isoliquiritigenin,Oleic acid,0.724055834253
Quinic acid,Isoliquiritigenin,0.724040818971
