Senyawa1,Senyawa2,Synergy Score
alpha-Terpinene,"3,4-Dihydroxybenzoic acid",0.052893692
Naringenin,Rutin,0.052871712
Tryptamine,Citric acid,0.052868317
(R)-linalool,Coumestrol,0.052850263
Glycyrrhizic acid,Chelerythrine,0.052814771
Benzoic acid,Oleanolic acid,0.052813357
Malic acid,Vincristine,0.052812949
Tetrahydroalstonine,"3,4-Dihydroxybenzoic acid",0.052801951
Folic acid,Apigenin,0.0527963
Myristicin,Octadecanoic acid,0.052794859
Protopine,Spermidine,0.05277672
Gallic acid,Myricetin,0.052754956
Apigenin,6-Hydroxymellein,0.05274943
Kaempferol 3-glucuronide,Chelerythrine,0.052744053
Apigenin,Chrysoeriol,0.052740514
Tanshinone I,Vanillic acid,0.052736773
"1,3,7-Trihydroxyxanthone",alpha-Terpinene,0.052723996
4-Terpineol,"1,3,7-Trihydroxyxanthone",0.052723996
"1,3,7-Trihydroxyxanthone",(+)-S-Carvone,0.052723996
Oleic acid,Malic acid,0.052713977
4-Terpineol,Ferruginol,0.05269785
Ferruginol,(+)-S-Carvone,0.05269785
Ferruginol,alpha-Terpinene,0.05269785
Sanguinarine,Kaempferol,0.052694563
Vindoline,Testosterone,0.052694073
Pregnenolone,Benzoic acid,0.052693972
Peucedanin,Oxalic acid,0.052689716
9-Ribosyl-trans-zeatin,Spermidine,0.052666841
alpha-Pinene,Peucedanin,0.052652151
Coumarin,Acetylursolic acid,0.052650742
Sweroside,Lycopene,0.052648551
Octadecanoic acid,Formononetin,0.052644251
alpha-Tocopherol,Tryptamine,0.052642379
Thiamine,Vitamin A,0.052620848
Spermidine,Ellagic acid,0.05261256
Gallic acid,Trigonelline,0.052611664
Thiamine,Testosterone,0.052604636
Ajmalicine,Salicylic acid,0.05259791
Glycyrrhetinic acid,Myricetin,0.052596049
Oleic acid,6-Hydroxymellein,0.052583975
Glycyrrhizic acid,Caffeic acid,0.052574534
Glycyrrhizic acid,Protopine,0.052571498
Liquiritin,Folic acid,0.052567188
Linoleic acid,Spermidine,0.05254581
Adenosine,3-O-Caffeoylquinic acid,0.05254328
Loganic acid,Folic acid,0.052535472
Isoprene,beta-Monoolein,0.052517054
Linoleic acid,Oleic acid,0.052487486
Gallic acid,Labiatenic acid,0.052477647
Gibberellin A3,"1,3,7-Trihydroxyxanthone",0.052453981
"3,4-Dihydroxybenzoic acid",Ferruginol,0.052444257
"3,4-Dihydroxybenzoic acid",Myricetin,0.052409758
"3,4-Dihydroxybenzoic acid",Spermine,0.052373244
Isoliquiritigenin,Trigonelline,0.052372487
2'-Hydroxygenistein,Ferruginol,0.052369777
L-Phenylalanine,4-Terpineol,0.052369208
(+)-S-Carvone,L-Phenylalanine,0.052369208
L-Phenylalanine,alpha-Terpinene,0.052369208
Coumarin,Indole-3-acetic acid,0.052365566
Vitamin A,2'-Hydroxygenistein,0.052354359
alpha-Pinene,Chelerythrine,0.052354173
Benzoic acid,7-Hydroxycoumarin,0.052351746
Ferruginol,Sucrose,0.052349787
Tetrahydroalstonine,Adenosine,0.052345076
Malic acid,N6-(delta2-Isopentenyl)adenine,0.052312433
3-O-Caffeoylquinic acid,Ellagic acid,0.052309387
trans-Zeatin,Malic acid,0.05228836
6-Hydroxymellein,Gibberellin A3,0.052237417
"Methyl 3,4,5-trihydroxybenzoate",Tanshinone I,0.052234894
(+)-S-Carvone,Vitamin A,0.052225233
alpha-Terpinene,Vitamin A,0.052225233
Vitamin A,4-Terpineol,0.052225233
2'-Hydroxygenistein,Naringin,0.052217244
2'-Hydroxygenistein,Isoliquiritigenin,0.052216924
Folic acid,Naringin,0.052215904
Labiatenic acid,L-Phenylalanine,0.052211144
Loganic acid,"1,3,7-Trihydroxyxanthone",0.052204035
Scopoletin,Ellagic acid,0.052194548
Oleanolic acid,Hirsutrin,0.052179746
Lycopene,Isoprene,0.052166114
Ajmalicine,Coumarin,0.052151059
Kaempferol,Hirsutrin,0.052148067
6-Hydroxymellein,Cholesterol,0.052140012
Thiamine,"Methyl 3,4,5-trihydroxybenzoate",0.052139209
Quercetin,Gibberellin A3,0.052138843
Apigenin,"Methyl 3,4,5-trihydroxybenzoate",0.05213273
Testosterone,Liquiritin,0.052127936
Oleanolic acid,Naringenin,0.052119581
Vitamin A,Myristicin,0.052119033
Glycyrrhizic acid,"1,3,7-Trihydroxyxanthone",0.052111354
Isoferulic acid,trans-Zeatin,0.052101499
Peucedanin,Fisetin,0.052098675
Malic acid,Gallic acid,0.052096152
Quercetin,Cholesterol,0.052086271
Salicylic acid,9-Ribosyl-trans-zeatin,0.052084505
beta-D-Glucosamine,Isoprene,0.052082048
Peucedanin,Thiamine,0.052070502
9-Ribosyl-trans-zeatin,Labiatenic acid,0.052058462
Tanshinone II,Trigonelline,0.052057343
Tryptamine,Thiamine,0.052035596
Folic acid,Cryptotanshinone,0.052031316
Glycyrrhetinic acid,Apigenin,0.051983683
Thiamine,Trigonelline,0.051969127
(R)-linalool,Naringenin,0.051966372
Vincristine,Kaempferol,0.051943664
Liquiritin,Tanshinone II,0.051918602
Fumaric acid,4-Terpineol,0.051910225
alpha-Terpinene,Fumaric acid,0.051910225
(+)-S-Carvone,Fumaric acid,0.051910225
Naringenin,Loganic acid,0.051906473
Malic acid,Myricetin,0.05189899
Liquiritin,"1,3,7-Trihydroxyxanthone",0.051897587
Adenosine,Scopoletin,0.051875108
Malic acid,Fumaric acid,0.051856707
Lycopene,(R)-linalool,0.051846072
Kaempferol 3-glucuronide,Caffeic acid,0.051844727
(R)-linalool,Quercetin,0.051839195
Folic acid,Fumaric acid,0.0518186
Quinic acid,Isoliquiritigenin,0.051801284
Naringenin,Citric acid,0.05180122
"3,4-Dihydroxybenzoic acid",trans-Zeatin,0.051750065
Punicalin,Vindoline,0.051730384
Punicalin,Spermine,0.051719027
Coumarin,Spermidine,0.051717838
Liquiritin,Cryptotanshinone,0.051698188
Serotonin,alpha-Pinene,0.051697433
Isoliquiritigenin,Liquiritin,0.05167376
Linoleic acid,"1,3,7-Trihydroxyxanthone",0.051657011
"Methyl 3,4,5-trihydroxybenzoate",Fumaric acid,0.051656014
Vanillin,Trigonelline,0.051654854
Isoliquiritigenin,Chelerythrine,0.051642732
Salicylic acid,Betulinic acid,0.051641592
Caffeic acid,3-O-Caffeoylquinic acid,0.051633703
Rutin,Chrysoeriol,0.051628834
Isoferulic acid,Lycopene,0.051619453
Hirsutrin,Gallic acid,0.051595851
Glycyrrhizic acid,Labiatenic acid,0.051588482
Serotonin,Ferruginol,0.051576926
Isoliquiritigenin,Apigenin,0.051546158
Testosterone,Naringin,0.051533888
Vanillin,Folic acid,0.051514638
Ferruginol,Vincristine,0.051501041
Glycyrrhizic acid,Punicalin,0.051494245
Sweroside,Chrysoeriol,0.051485436
Glycyrrhetinic acid,trans-Zeatin,0.05148399
Naringin,Liquiritin,0.051483261
Fisetin,Benzoic acid,0.051480827
Betulinic acid,Punicalin,0.051461919
Quercetin,Loganin,0.051454232
Oleanolic acid,Glycyrrhetinic acid,0.05144566
Gibberellin A3,"Methyl 3,4,5-trihydroxybenzoate",0.051444876
Sanguinarine,Trigonelline,0.051423422
alpha-Pinene,Tryptamine,0.051411045
(-)-Jasmonic acid,Fisetin,0.051382317
Tanshinone II,Rutin,0.051379994
Liquiritin,Vitamin A,0.051379574
Riboflavin,Coumestrol,0.051375235
Guanosine,alpha-Pinene,0.051348564
9-Ribosyl-trans-zeatin,Caffeic acid,0.051346262
Protopine,Fisetin,0.051341835
Cryptotanshinone,Testosterone,0.051337343
Ajmalicine,Tryptamine,0.051333252
Cryptotanshinone,Vitamin A,0.051302821
"3,4-Dihydroxybenzoic acid",Thiamine,0.051297132
Berberine,3' 5'-cyclic AMP,0.051282972
Myristicin,Testosterone,0.051272938
Coumarin,Kaempferol 3-glucuronide,0.051211207
3-O-Caffeoylquinic acid,Coumarin,0.051208581
Malic acid,Chelerythrine,0.051205516
"Methyl 3,4,5-trihydroxybenzoate",Tetrahydroalstonine,0.05120175
Serotonin,"1,3,7-Trihydroxyxanthone",0.051177149
Lycopene,Tanshinone I,0.051153888
Hirsutrin,Benzoic acid,0.051152674
Gibberellin A3,Folic acid,0.051142759
Myricetin,Quinic acid,0.051129511
Fumaric acid,Tryptamine,0.051086765
Riboflavin,Apigenin,0.05107226
"3,4-Dihydroxybenzoic acid",Fumaric acid,0.051068069
6-Hydroxymellein,Indole-3-acetic acid,0.051064284
(R)-linalool,"1,3,7-Trihydroxyxanthone",0.051063036
Apigenin,Guanosine,0.05106176
Gallic acid,Glycyrrhetinic acid,0.051036629
Gallic acid,Isoliquiritigenin,0.051031432
Sweroside,Tanshinone II,0.051030812
Isoliquiritigenin,Naringin,0.051028919
Apigenin,Quinic acid,0.05102368
Tryptamine,Gibberellin A3,0.051018707
Fisetin,Myricetin,0.0510184
Sweroside,Cholesterol,0.050996226
Isoprene,Spermine,0.050980578
Malic acid,Vanillin,0.050971227
Fisetin,Glycyrrhizic acid,0.050966369
Kaempferol,N6-(delta2-Isopentenyl)adenine,0.050912244
Tanshinone II,Isoliquiritigenin,0.050909214
Benzoic acid,Labiatenic acid,0.05088744
Isoferulic acid,Naringenin,0.050858338
Hirsutrin,Vanillin,0.050851989
Guanosine,Vindoline,0.050849123
Glycyrrhetinic acid,L-Phenylalanine,0.050836172
Fumaric acid,Kaempferol,0.050831737
Salicylic acid,Linoleic acid,0.050830573
Gibberellin A3,Peucedanin,0.050815459
Berberine,9-Ribosyl-trans-zeatin,0.050796881
Lycopene,Oleanolic acid,0.050794486
Malic acid,Thiamine,0.050793574
Berberine,Salicylic acid,0.050779088
alpha-Pinene,Punicalin,0.050762268
3' 5'-cyclic AMP,Labiatenic acid,0.05073893
Kaempferol,Oleic acid,0.050715255
Isoprene,Vitamin A,0.050712309
Naringin,Vitamin A,0.050704136
"Methyl 3,4,5-trihydroxybenzoate",alpha-Pinene,0.050696331
Ferruginol,Spermidine,0.050696139
Kaempferol,Quinic acid,0.050691545
Oleic acid,Tanshinone II,0.050685913
Folic acid,Chrysoeriol,0.05067748
Oleanolic acid,Oestrone,0.050673149
Chelerythrine,Licuroside,0.050666143
Folic acid,Oxalic acid,0.050662921
Glycyrrhetinic acid,Fumaric acid,0.050654682
Kaempferol,trans-Zeatin,0.050650977
Folic acid,Berberine,0.050636348
Testosterone,Scopoletin,0.050619703
Quercetin,Vanillin,0.050619553
Oestrone,Scopoletin,0.050613514
Glycyrrhizic acid,3' 5'-cyclic AMP,0.050600104
Caffeic acid,Betulinic acid,0.050596527
Vindoline,N6-(delta2-Isopentenyl)adenine,0.050586776
Adenosine,Glycyrrhizic acid,0.050567671
Peucedanin,Fumaric acid,0.050549312
N6-(delta2-Isopentenyl)adenine,Apigenin,0.050542399
Naringenin,Formononetin,0.050535053
Serotonin,Coumarin,0.050533739
Myricetin,Isoliquiritigenin,0.050516402
Naringin,Chrysoeriol,0.050492695
Peucedanin,Acetylursolic acid,0.050489658
(R)-linalool,"Methyl 3,4,5-trihydroxybenzoate",0.050453412
Isoferulic acid,Malic acid,0.050434527
Peucedanin,Myristicin,0.050432091
Vincristine,Peucedanin,0.050418311
Chelerythrine,"Methyl 3,4,5-trihydroxybenzoate",0.050413818
Vincristine,Apigenin,0.050412404
Guanosine,Benzoic acid,0.050409771
Scopoletin,Trigonelline,0.050385941
Isoliquiritigenin,Chrysoeriol,0.050373983
alpha-Pinene,Vanillin,0.050368836
Isoliquiritigenin,Guanosine,0.050367422
9-Ribosyl-trans-zeatin,Oestrone,0.050326527
Apigenin,Vanillic acid,0.050326304
Citric acid,N6-(delta2-Isopentenyl)adenine,0.050294494
3' 5'-cyclic AMP,Vindoline,0.050281632
Folic acid,Oleanolic acid,0.050279763
L-Phenylalanine,Isorhamnetin 3-O-beta-D-glucopyranoside,0.05027628
Apigenin,Malic acid,0.050257857
Naringenin,Berberine,0.050256487
Betulinic acid,Adenosine,0.05024334
Oleic acid,Folic acid,0.050237301
Gibberellin A3,"3,4-Dihydroxybenzoic acid",0.050230642
Isoprene,"1,3,7-Trihydroxyxanthone",0.050228403
Vincristine,Punicalin,0.050228169
Kaempferol,Citric acid,0.050225936
(R)-linalool,Folic acid,0.050207399
alpha-Tocopherol,Trigonelline,0.050206817
Tanshinone I,Benzoic acid,0.0501922
Scopoletin,"3,4-Dihydroxybenzoic acid",0.050188229
Thiamine,Vanillic acid,0.050187523
Vindoline,Coumestrol,0.050177471
Ferruginol,Naringin,0.050174945
alpha-Tocopherol,"Methyl 3,4,5-trihydroxybenzoate",0.050156104
Thiamine,Coumestrol,0.050150465
6-Hydroxymellein,(R)-linalool,0.050149878
3' 5'-cyclic AMP,beta-Carotene,0.050148139
Vindoline,"1,3,7-Trihydroxyxanthone",0.05014627
Citric acid,3' 5'-cyclic AMP,0.050140577
Cholesterol,Ellagic acid,0.050139671
3-O-Caffeoylquinic acid,Benzoic acid,0.050135986
Thiamine,Lycopene,0.050135456
Liquiritin,2'-Hydroxygenistein,0.050130441
Octadecanoic acid,Labiatenic acid,0.050111651
Oestrone,Ajmalicine,0.050106815
Chrysoeriol,Myricetin,0.050100583
"1,3,7-Trihydroxyxanthone",Isoferulic acid,0.050085536
Myricetin,Serotonin,0.05007751
Linoleic acid,Adenosine,0.05006637
"Methyl 3,4,5-trihydroxybenzoate",Vindoline,0.050066117
Citric acid,Oleic acid,0.050062602
Scopoletin,Folic acid,0.050059957
Thiamine,Folic acid,0.050039019
Octadecanoic acid,alpha-Tocopherol,0.050037857
Punicalin,Isoprene,0.05002697
Naringenin,Thiamine,0.050014718
Citric acid,Glycyrrhetinic acid,0.050012535
2'-Hydroxygenistein,Trigonelline,0.050011092
(R)-linalool,Tryptamine,0.050009717
Gibberellin A3,Glycyrrhetinic acid,0.050002088
Citric acid,Sanguinarine,0.049995735
Vanillic acid,Tetrahydroalstonine,0.049985529
2'-Hydroxygenistein,Rutin,0.04998188
Citric acid,Peucedanin,0.049981591
Linoleic acid,Vitamin A,0.049971472
Myristicin,Gallic acid,0.049968864
Gibberellin A3,Kaempferol,0.049963472
Citric acid,Malic acid,0.04995505
Scopoletin,Coumarin,0.049934835
Sweroside,2'-Hydroxygenistein,0.049929055
Coumestrol,Linoleic acid,0.049907079
Vanillin,Tanshinone II,0.049876098
Gallic acid,Sucrose,0.049859304
Naringin,Sweroside,0.0498343
Ferruginol,Punicalin,0.049813002
Acetovanillone,Benzoic acid,0.049812123
Glycyrrhetinic acid,Isoferulic acid,0.049805888
Linoleic acid,Hirsutrin,0.049790885
Chrysoeriol,Guanosine,0.049781565
"3,4-Dihydroxybenzoic acid",alpha-Pinene,0.049780639
Vincristine,delta-Tocopherol,0.049778231
Peucedanin,(R)-linalool,0.049775258
Gallic acid,Palmitic acid,0.049741994
Linoleic acid,Riboflavin,0.049741676
Isoferulic acid,Quinic acid,0.049739646
Malic acid,alpha-Tocopherol,0.049737556
Oleic acid,Chrysoeriol,0.049721611
Oestrone,Tanshinone I,0.049718724
Benzoic acid,Indole-3-acetic acid,0.049712986
Citric acid,6-Hydroxymellein,0.049710904
Citric acid,Trigonelline,0.049662858
Ferruginol,Liquiritin,0.049653126
Cryptotanshinone,Guanosine,0.049651205
Coumestrol,Formononetin,0.04962247
Gallic acid,alpha-Tocopherol,0.049621388
"1,3,7-Trihydroxyxanthone",Berberine,0.049607238
Caffeic acid,"6,8-Diprenylgenistein",0.049549174
Tanshinone II,Oleanolic acid,0.049538912
Fumaric acid,Citric acid,0.049533132
Vincristine,Glycyrrhetinic acid,0.049524326
Tryptamine,Vindoline,0.049523426
Thiamine,"1,3,7-Trihydroxyxanthone",0.049513215
Sucrose,Isoprene,0.049507782
Myricetin,Isoferulic acid,0.049488303
Vitamin A,Chelerythrine,0.049484974
alpha-Tocopherol,Glycyrrhetinic acid,0.049484042
Vitamin A,Vincristine,0.049475135
3' 5'-cyclic AMP,3-O-Caffeoylquinic acid,0.04947167
alpha-Pinene,delta-Tocopherol,0.049463965
Tetrahydroalstonine,Rutin,0.049446506
Formononetin,Vitamin A,0.049445843
Gibberellin A3,Fumaric acid,0.049443509
Isoprene,Sanguinarine,0.049438427
Fumaric acid,Vanillic acid,0.049421295
Glycyrrhizic acid,Octadecanoic acid,0.049409627
"Methyl 3,4,5-trihydroxybenzoate",Scopoletin,0.049400265
Quercetin,6-Hydroxymellein,0.049389472
Quinic acid,Loganic acid,0.049377294
Vanillic acid,Vindoline,0.049357161
Myricetin,Vincristine,0.049347349
Tanshinone I,Tanshinone II,0.049346075
3' 5'-cyclic AMP,Punicalin,0.049339243
Sweroside,N6-(delta2-Isopentenyl)adenine,0.049324107
Octadecanoic acid,Myricetin,0.049322847
Loganin,Gallic acid,0.049319715
Linoleic acid,Palmitic acid,0.049303689
Spermine,Labiatenic acid,0.049298136
Gibberellin A3,Vanillic acid,0.049287224
Riboflavin,Adenosine,0.049274904
Spermine,Riboflavin,0.049263635
Chelerythrine,Vanillic acid,0.049258133
Formononetin,Tryptamine,0.049257259
(R)-linalool,"3,4-Dihydroxybenzoic acid",0.049254793
Chelerythrine,Glycyrrhetinic acid,0.049247062
Gibberellin A3,Malic acid,0.049246018
Apigenin,(+)-S-Carvone,0.049224469
4-Terpineol,Apigenin,0.049224469
Apigenin,alpha-Terpinene,0.049224469
Testosterone,Linoleic acid,0.049204509
alpha-Tocopherol,Citric acid,0.049200877
Tryptamine,Acetylursolic acid,0.049160659
"6,8-Diprenylgenistein",Salicylic acid,0.049142126
Labiatenic acid,"Methyl 3,4,5-trihydroxybenzoate",0.049140927
Succinic acid,Lycopene,0.049132324
Myristicin,alpha-Pinene,0.04912199
Glycyrrhetinic acid,Vindoline,0.049117223
Sweroside,Kaempferol,0.04909887
"1,3,7-Trihydroxyxanthone",Formononetin,0.049096375
4-Terpineol,Folic acid,0.049090816
Folic acid,(+)-S-Carvone,0.049090816
alpha-Terpinene,Folic acid,0.049090816
Salicylic acid,3-O-Caffeoylquinic acid,0.049087523
Folic acid,alpha-Pinene,0.049087202
Citric acid,Vanillic acid,0.049080763
Lycopene,Betulinic acid,0.04907577
Coumarin,Betulinic acid,0.049071422
Oleic acid,Spermine,0.049057791
(R)-linalool,Spermine,0.049057573
Testosterone,Formononetin,0.049049052
Formononetin,Peucedanin,0.049037576
Trigonelline,Oleanolic acid,0.04902875
Kaempferol,Isoferulic acid,0.049022651
Fumaric acid,Trigonelline,0.04902135
Punicalin,Linoleic acid,0.049008515
Myristicin,Lycopene,0.049002386
Naringenin,Scopoletin,0.048999825
Linoleic acid,Rutin,0.04899211
Malic acid,Labiatenic acid,0.048988792
Trigonelline,Gibberellin A3,0.04898697
Berberine,Benzoic acid,0.048983442
Oleanolic acid,Cryptotanshinone,0.048981354
Glycyrrhizic acid,Gallic acid,0.048976215
N6-(delta2-Isopentenyl)adenine,Punicalin,0.048970148
Glycyrrhetinic acid,(R)-linalool,0.048967563
Trigonelline,Liquiritin,0.048951084
Naringin,Kaempferol 3-glucuronide,0.048948873
Cryptotanshinone,Trigonelline,0.048946337
beta-D-Glucosamine,Sweroside,0.048945543
Citric acid,"Methyl 3,4,5-trihydroxybenzoate",0.048927148
Riboflavin,Salicylic acid,0.048918069
Trigonelline,Apigenin,0.048904278
Sweroside,"3,4-Dihydroxybenzoic acid",0.048901228
Caffeic acid,(+)-S-Carvone,0.048892835
Caffeic acid,4-Terpineol,0.048892835
alpha-Terpinene,Caffeic acid,0.048892835
Salicylic acid,Myristicin,0.048881655
Tanshinone II,Quinic acid,0.048862743
Oestrone,Linoleic acid,0.048860433
Octadecanoic acid,Acetovanillone,0.048855006
"Methyl 3,4,5-trihydroxybenzoate",Oxalic acid,0.048854586
9-Ribosyl-trans-zeatin,Coumarin,0.048838751
2'-Hydroxygenistein,Oleic acid,0.048833128
Glycyrrhetinic acid,Thiamine,0.048815048
Vanillic acid,alpha-Tocopherol,0.048812833
L-Phenylalanine,beta-Carotene,0.048800435
Glycyrrhetinic acid,Tanshinone I,0.048789965
Folic acid,Formononetin,0.048780476
Naringenin,Riboflavin,0.048775629
Isoliquiritigenin,Sweroside,0.048769665
Scopoletin,Tryptamine,0.048766885
Vitamin A,3-O-Caffeoylquinic acid,0.048763522
3' 5'-cyclic AMP,Fumaric acid,0.048748157
3-O-Caffeoylquinic acid,Folic acid,0.048747078
3' 5'-cyclic AMP,Kaempferol,0.048746797
Citric acid,Methyl rosmarinate,0.048738701
Isoprene,Palmitic acid,0.048735335
Spermine,Quinic acid,0.048734999
(+)-S-Carvone,beta-Monoolein,0.048734124
beta-Monoolein,4-Terpineol,0.048734124
alpha-Terpinene,beta-Monoolein,0.048734124
(R)-linalool,Kaempferol,0.048731494
L-Phenylalanine,delta-Tocopherol,0.048728796
Scopoletin,Vanillic acid,0.048728645
Octadecanoic acid,Serotonin,0.048664585
3' 5'-cyclic AMP,Naringin,0.048657157
Chrysoeriol,Vanillin,0.048618619
Vincristine,Vindoline,0.048604122
Peucedanin,Kaempferol 3-glucuronide,0.048588174
7-Hydroxycoumarin,Peucedanin,0.048578993
Riboflavin,Vindoline,0.048554018
Tanshinone II,Kaempferol,0.048529485
"Methyl 3,4,5-trihydroxybenzoate",Formononetin,0.048521907
Isorhamnetin 3-O-beta-D-glucopyranoside,Sanguinarine,0.048516623
Oleic acid,Cryptotanshinone,0.048497714
Kaempferol,Myricetin,0.048487607
Spermidine,alpha-Pinene,0.048486694
6-Hydroxymellein,Caffeic acid,0.04848649
Adenosine,Myristicin,0.04848281
alpha-Tocopherol,Sanguinarine,0.048480536
Naringin,Trigonelline,0.048464769
Ellagic acid,Pregnenolone,0.04846218
Oleanolic acid,"1,3,7-Trihydroxyxanthone",0.048455717
Glycyrrhizic acid,Hirsutrin,0.048433532
Acetylursolic acid,Coumestrol,0.048432171
Betulinic acid,Tryptamine,0.048406442
Sweroside,Acetylursolic acid,0.048398335
Salicylic acid,Pregnenolone,0.048393693
(+)-S-Carvone,Gibberellin A3,0.048385906
4-Terpineol,Gibberellin A3,0.048385906
Gibberellin A3,alpha-Terpinene,0.048385906
Sweroside,9-Ribosyl-trans-zeatin,0.048373833
Spermine,Fumaric acid,0.048362425
Chrysoeriol,Liquiritin,0.048361017
Naringenin,Ajmalicine,0.048350017
Caffeic acid,7-Hydroxycoumarin,0.048347662
Vanillic acid,(R)-linalool,0.048341947
Oleanolic acid,Vitamin A,0.048329025
7-Hydroxycoumarin,Adenosine,0.048318935
Salicylic acid,Spermidine,0.048299156
Apigenin,Sweroside,0.048297883
Punicalin,Isoliquiritigenin,0.048295053
Cryptotanshinone,3' 5'-cyclic AMP,0.048283042
3-O-Caffeoylquinic acid,Trigonelline,0.048275977
Oleanolic acid,Guanosine,0.04826653
Adenosine,"6,8-Diprenylgenistein",0.048248907
Naringenin,Tanshinone I,0.048243373
Trigonelline,(R)-linalool,0.04823706
Hirsutrin,Oxalic acid,0.048233295
Kaempferol 3-glucuronide,alpha-Pinene,0.048225621
Malic acid,Oleanolic acid,0.048210424
Scopoletin,Spermine,0.048210145
Malic acid,(R)-linalool,0.048203387
Loganin,Sanguinarine,0.048201798
Myoinositol,Benzoic acid,0.048179689
Palmitic acid,(+)-S-Carvone,0.048177227
4-Terpineol,Palmitic acid,0.048177227
alpha-Terpinene,Palmitic acid,0.048177227
Glycyrrhizic acid,L-Phenylalanine,0.048160844
Pregnenolone,Adenosine,0.048155631
Oestrone,3-O-Caffeoylquinic acid,0.048155613
Oleic acid,Trigonelline,0.048142741
beta-Carotene,Ellagic acid,0.048131027
"(6S,9R)-Roseoside",Benzoic acid,0.048127019
Ajmalicine,Coumestrol,0.04808926
Fisetin,delta-Tocopherol,0.048080723
Cryptotanshinone,Labiatenic acid,0.048078885
Pregnenolone,Testosterone,0.048056325
Guanosine,alpha-Tocopherol,0.048054141
Ellagic acid,delta-Tocopherol,0.048049274
Testosterone,3-O-Caffeoylquinic acid,0.048047653
Vanillic acid,alpha-Pinene,0.048041261
Chrysoeriol,Kaempferol,0.048040986
3' 5'-cyclic AMP,Liquiritin,0.048030046
Vindoline,Naringenin,0.048018945
Kaempferol,alpha-Tocopherol,0.048016587
Adenosine,delta-Tocopherol,0.047998136
Loganic acid,Myricetin,0.047968973
Rutin,Chelerythrine,0.047964183
delta-Tocopherol,Salicylic acid,0.047927396
Acetylursolic acid,Ellagic acid,0.047925484
Betulinic acid,Sweroside,0.047923543
Oxalic acid,Vanillic acid,0.047920741
Tryptamine,3-O-Caffeoylquinic acid,0.04791827
Tanshinone II,Isoferulic acid,0.047913388
Guanosine,Kaempferol,0.047911243
3' 5'-cyclic AMP,Chrysoeriol,0.0479019
Loganic acid,Vitamin A,0.047893787
Oleanolic acid,Quercetin,0.047887894
Quercetin,Tanshinone I,0.047877993
Tanshinone I,Cryptotanshinone,0.04786629
Riboflavin,Kaempferol,0.047839398
Kaempferol,Liquiritin,0.047806644
Vanillin,Guanosine,0.0477846
Oestrone,7-Hydroxycoumarin,0.047783979
6-Hydroxymellein,Salicylic acid,0.047776522
Vitamin A,Scopoletin,0.047768116
Linoleic acid,Guanosine,0.047763631
Sweroside,Myricetin,0.047720886
Apigenin,Oxalic acid,0.047711678
Chelerythrine,"3,4-Dihydroxybenzoic acid",0.047707149
"3,4-Dihydroxybenzoic acid",Apigenin,0.04768645
Labiatenic acid,Fisetin,0.04768532
Rutin,Oleic acid,0.04767154
Peucedanin,Acetovanillone,0.047659994
Vitamin A,7-Hydroxycoumarin,0.047655547
Cryptotanshinone,Sanguinarine,0.047651963
7-Hydroxycoumarin,Folic acid,0.04764031
Testosterone,Oleanolic acid,0.047632817
Isoliquiritigenin,Oxalic acid,0.047580532
Indole-3-acetic acid,Peucedanin,0.047538784
Vanillin,2'-Hydroxygenistein,0.047530043
Peucedanin,3-O-Caffeoylquinic acid,0.047529975
Ajmalicine,Tetrahydroalstonine,0.047515068
Tanshinone II,3' 5'-cyclic AMP,0.047508325
Serotonin,Salicylic acid,0.047508203
Hirsutrin,Folic acid,0.047501963
Folic acid,Tanshinone I,0.047477622
Oleic acid,Vanillin,0.047469893
2'-Hydroxygenistein,3' 5'-cyclic AMP,0.04746727
Vindoline,Isoprene,0.047465317
Hirsutrin,alpha-Pinene,0.047459611
Chrysoeriol,Trigonelline,0.047457358
Vincristine,Linoleic acid,0.047446315
Gancaonin U,L-Phenylalanine,0.047440855
Ellagic acid,Glycyrrhizic acid,0.047440629
Betulinic acid,"3,4-Dihydroxybenzoic acid",0.04743993
Sanguinarine,6-Hydroxymellein,0.047426156
alpha-Tocopherol,6-Hydroxymellein,0.047424124
Quinic acid,Thiamine,0.047421529
Liquiritin,Quinic acid,0.047410194
Fisetin,Apigenin,0.047403503
Vindoline,Malic acid,0.047395161
Formononetin,Vanillic acid,0.047389982
Hirsutrin,Testosterone,0.047388939
trans-Zeatin,Citric acid,0.047388302
Citric acid,Quinic acid,0.04737598
trans-Zeatin,Scopoletin,0.047369725
3' 5'-cyclic AMP,Ferruginol,0.047361915
Scopoletin,Coumestrol,0.0473614
Cholesterol,Linoleic acid,0.047360633
7-Hydroxycoumarin,Naringenin,0.047344307
(R)-linalool,Fumaric acid,0.047338749
Acetylursolic acid,"3,4-Dihydroxybenzoic acid",0.047330746
4-Terpineol,Citric acid,0.047329564
Citric acid,alpha-Terpinene,0.047329564
(+)-S-Carvone,Citric acid,0.047329564
Oleic acid,Naringin,0.047321111
Riboflavin,Fumaric acid,0.047315139
3' 5'-cyclic AMP,Linoleic acid,0.047309466
Quinic acid,2'-Hydroxygenistein,0.047305539
Oleic acid,Guanosine,0.047302091
Oleic acid,3' 5'-cyclic AMP,0.047292858
Fisetin,Testosterone,0.047288116
Guanosine,Liquiritin,0.047271189
Caffeic acid,Linoleic acid,0.047266647
3' 5'-cyclic AMP,Gibberellin A3,0.047256268
